MemTotal:          58488 kB
MemFree:           43308 kB
MemAvailable:      43244 kB
Buffers:            1004 kB
Cached:             1392 kB
SwapCached:            0 kB
Active:             2532 kB
Inactive:            208 kB
Active(anon):        348 kB
Inactive(anon):        8 kB
Active(file):       2184 kB
Inactive(file):      200 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:           356 kB
Mapped:             1116 kB
Shmem:                12 kB
KReclaimable:        376 kB
Slab:               8516 kB
SReclaimable:        376 kB
SUnreclaim:         8140 kB
KernelStack:         416 kB
PageTables:          140 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:       29244 kB
Committed_AS:       1804 kB
VmallocTotal:     524288 kB
VmallocUsed:        3044 kB
VmallocChunk:          0 kB
Percpu:               32 kB
CmaTotal:           4096 kB
CmaFree:            4072 kB
